,sentence#,word,pos,tag
127,13.0,on,IN,O
128,13.0,high,JJ,O
129,13.0,for,IN,O
130,13.0,2,CD,O
131,13.0,-,SYM,O
132,13.0,3,CD,O
133,13.0,hours,NNS,O
134,13.0,or,CC,O
135,13.0,6,CD,O
136,13.0,-,SYM,O
137,13.0,8,CD,O
138,13.0,hours,NNS,O
139,13.0,on,IN,O
140,13.0,low,JJ,O
141,13.0,.,.,O
142,14.0,Serve,VB,U-Action
143,14.0,with,IN,O
144,14.0,cold,JJ,O
145,14.0,clean,JJ,O
146,14.0,lettuce,NN,U-Ingredient
147,14.0,and,CC,O
148,14.0,shredded,VBN,B-Ingredient
149,14.0,cheese,NN,L-Ingredient
150,14.0,(,-LRB-,O
151,14.0,It,PRP,O
152,14.0,'s,VBZ,O
153,14.0,a,DT,O
154,14.0,Cajun,NNP,O
155,14.0,thing,NN,O
156,14.0,),-RRB-,O
157,14.0,.,.,O
158,15.0,Place,NN,U-Action
159,15.0,potatoes,NNS,U-Ingredient
160,15.0,in,IN,O
161,15.0,a,DT,O
162,15.0,large,JJ,B-Utensil
163,15.0,pot,NN,L-Utensil
164,15.0,of,IN,O
165,15.0,lightly,RB,O
166,15.0,salted,VBN,O
167,15.0,water,NN,O
168,15.0,and,CC,O
169,15.0,bring,VB,O
170,15.0,to,IN,O
171,15.0,a,DT,O
172,15.0,gentle,JJ,O
173,15.0,boil,NN,O
174,15.0,.,.,O
175,16.0,Cook,VB,U-Action
176,16.0,until,IN,O
177,16.0,potatoes,NNS,U-Ingredient
178,16.0,are,VBP,O
179,16.0,just,RB,O
180,16.0,tender,JJ,O
181,16.0,.,.,O
182,17.0,Garnish,VB,U-Action
183,17.0,with,IN,O
184,17.0,finely,RB,O
185,17.0,diced,VBN,O
186,17.0,red,JJ,O
187,17.0,and,CC,O
188,17.0,yellow,JJ,O
189,17.0,bell,NNP,B-Ingredient
190,17.0,peppers,NNS,L-Ingredient
191,17.0,.,.,O
192,18.0,Drain,NN,U-Action
193,18.0,.,.,O
194,19.0,Place,NN,U-Action
195,19.0,potatoes,NNS,U-Ingredient
196,19.0,in,IN,O
197,19.0,a,DT,O
198,19.0,large,JJ,B-Utensil
199,19.0,bowl,NN,L-Utensil
200,19.0,and,CC,O
201,19.0,add,VB,U-Action
202,19.0,all,DT,O
203,19.0,ingredients,NNS,O
204,19.0,except,IN,O
205,19.0,"the""Alouette",NNP,O
206,19.0,"""",'',O
207,19.0,.,.,O
208,20.0,Mix,VB,U-Action
209,20.0,well,RB,O
210,20.0,and,CC,O
211,20.0,transfer,VB,U-Action
212,20.0,to,IN,O
213,20.0,a,DT,O
214,20.0,buttered,VBN,O
215,20.0,8x8,NNP,O
216,20.0,inch,NN,O
217,20.0,glass,NN,B-Utensil
218,20.0,baking,NN,I-Utensil
219,20.0,dish,NN,L-Utensil
220,20.0,with,IN,O
221,20.0,2,CD,O
222,20.0,inch,NN,O
223,20.0,sides,NNS,O
224,20.0,.,.,O
225,21.0,Press,VB,U-Action
226,21.0,the,DT,O
227,21.0,potatoes,NNS,U-Ingredient
228,21.0,with,IN,O
229,21.0,a,DT,O
230,21.0,spatula,NN,U-Utensil
231,21.0,to,TO,O
232,21.0,make,VB,O
233,21.0,top,NN,O
234,21.0,as,RB,O
235,21.0,flat,JJ,O
236,21.0,as,IN,O
237,21.0,possible,JJ,O
238,21.0,.,.,O
239,22.0,Set,VB,U-Action
240,22.0,aside,RB,O
241,22.0,for,IN,O
242,22.0,2,CD,O
243,22.0,hours,NNS,O
244,22.0,at,IN,O
245,22.0,room,NN,O
246,22.0,temperature,NN,O
247,22.0,.,.,O
248,23.0,Preheat,VB,U-Action
249,23.0,oven,NN,U-Utensil
250,23.0,to,IN,O
251,23.0,350^F.,NN,O
252,24.0,"Spread""Alouette",NNP,O
253,24.0,"""",'',O
254,24.0,evenly,RB,O
255,24.0,over,IN,O
256,24.0,potatoes,NNS,U-Ingredient
257,24.0,and,CC,O
258,24.0,bake,VB,U-Action
259,24.0,15,CD,O
260,24.0,minutes,NNS,O
261,24.0,.,.,O
262,25.0,Divide,VB,U-Action
263,25.0,between,IN,O
264,25.0,plates,NNS,U-Utensil
265,25.0,.,.,O
266,26.0,Mix,VB,U-Action
267,26.0,all,DT,O
268,26.0,ingredients,NNS,O
269,26.0,&,CC,O
270,26.0,boil,VB,U-Action
271,26.0,for,IN,O
272,26.0,2,CD,O
273,26.0,1/2,CD,O
274,26.0,hours,NNS,O
275,26.0,",",",",O
276,26.0,or,CC,O
277,26.0,until,IN,O
278,26.0,thick,JJ,O
279,26.0,.,.,O
280,27.0,Pour,VB,U-Action
281,27.0,into,IN,O
282,27.0,jars,NNS,U-Utensil
283,27.0,.,.,O
284,28.0,(,-LRB-,O
285,28.0,no,DT,O
286,28.0,need,NN,O
287,28.0,to,TO,O
288,28.0,heat,VB,U-Action
289,28.0,filled,VBN,O
290,28.0,jars,NNS,U-Utensil
291,28.0,),-RRB-,O
292,28.0,.,.,O
293,29.0,I,PRP,O
294,29.0,use'old,VBD,O
295,29.0,',``,O
296,29.0,glass,NN,B-Utensil
297,29.0,ketchup,NN,I-Utensil
298,29.0,bottles,NNS,L-Utensil
299,29.0,.,.,O
300,30.0,It,PRP,O
301,30.0,is,VBZ,O
302,30.0,not,RB,O
303,30.0,necessary,JJ,O
304,30.0,for,IN,O
305,30.0,these,DT,O
306,30.0,to'seal,NN,O
307,30.0,.,.,O
308,31.0,',``,O
309,31.0,My,PRP$,O
310,31.0,Amish,JJ,O
311,31.0,mother,NN,O
312,31.0,-,HYPH,O
313,31.0,in,IN,O
314,31.0,-,HYPH,O
315,31.0,law,NN,O
316,31.0,has,VBZ,O
317,31.0,been,VBN,O
318,31.0,making,VBG,O
319,31.0,this,DT,O
320,31.0,her,PRP$,O
321,31.0,entire,JJ,O
322,31.0,life,NN,O
323,31.0,",",",",O
324,31.0,and,CC,O
325,31.0,has,VBZ,O
326,31.0,never,RB,O
327,31.0,used,VBN,O
328,31.0,a'sealed,NNP,O
329,31.0,','',O
330,31.0,jar,NN,U-Utensil
331,31.0,for,IN,O
332,31.0,this,DT,O
333,31.0,recipe,NN,O
334,31.0,",",",",O
335,31.0,and,CC,O
336,31.0,it,PRP,O
337,31.0,'s,VBZ,O
338,31.0,always,RB,O
339,31.0,been,VBN,O
340,31.0,great,JJ,O
341,31.0,!,.,O
342,32.0,Combine,VB,U-Action
343,32.0,ingredients,NNS,O
344,32.0,in,IN,O
345,32.0,blender,NN,U-Utensil
346,32.0,;,:,O
347,32.0,cover,NN,U-Action
348,32.0,and,CC,O
349,32.0,blend,VB,U-Action
350,32.0,until,IN,O
351,32.0,smooth,JJ,O
352,32.0,.,.,O
353,33.0,Sprinkle,VB,U-Action
354,33.0,with,IN,O
355,33.0,ground,NN,B-Ingredient
356,33.0,cinnamon,NN,L-Ingredient
357,33.0,.,.,O
358,34.0,Makes,VBZ,O
359,34.0,about,RB,O
360,34.0,2,CD,O
361,34.0,cups,NNS,O
362,34.0,.,.,O
363,35.0,Depending,VBG,O
364,35.0,on,IN,O
365,35.0,size,NN,O
366,35.0,of,IN,O
367,35.0,squash,NN,U-Ingredient
368,35.0,",",",",O
369,35.0,cut,VBN,U-Action
370,35.0,into,IN,O
371,35.0,half,NN,O
372,35.0,or,CC,O
373,35.0,fourths,NNS,O
374,35.0,.,.,O
375,36.0,Remove,VB,U-Action
376,36.0,seeds,NNS,O
377,36.0,.,.,O
378,37.0,For,IN,O
379,37.0,spicy,JJ,O
380,37.0,squash,NN,U-Ingredient
381,37.0,",",",",O
382,37.0,drizzle,NN,U-Action
383,37.0,(,-LRB-,O
384,37.0,roughly,RB,O
385,37.0,1/2,CD,O
386,37.0,teaspoon,NN,O
387,37.0,),-RRB-,O
388,37.0,olive,NN,B-Ingredient
389,37.0,oil,NN,L-Ingredient
390,37.0,or,CC,O
391,37.0,melted,VBN,O
392,37.0,butter,NN,U-Ingredient
393,37.0,over,IN,O
394,37.0,each,DT,O
395,37.0,cut,VBN,O
396,37.0,squash,NN,U-Ingredient
397,37.0,piece,NN,O
398,37.0,.,.,O
399,37.0,Season,NN,U-Action
400,37.0,with,IN,O
401,37.0,Mexican,NNP,O
402,37.0,Seasoning,NNP,O
403,37.0,Mix,NNP,O
404,37.0,II,NNP,O
405,37.0,.,.,O
406,38.0,For,IN,O
407,38.0,sweet,JJ,O
408,38.0,squash,NN,U-Ingredient
409,38.0,",",",",O
410,38.0,drizzle,NN,U-Action
411,38.0,(,-LRB-,O
412,38.0,roughly,RB,O
413,38.0,1/2,CD,O
414,38.0,teaspoon,NN,O
415,38.0,),-RRB-,O
416,38.0,melted,VBN,O
417,38.0,honey,NN,U-Ingredient
418,38.0,",",",",O
419,38.0,butter,NN,U-Ingredient
420,38.0,",",",",O
421,38.0,grated,VBN,B-Ingredient
422,38.0,piloncillo,NN,L-Ingredient
423,38.0,(,-LRB-,O
424,38.0,or,CC,O
425,38.0,any,DT,O
426,38.0,combination,NN,O
427,38.0,of,IN,O
428,38.0,),-RRB-,O
429,38.0,over,IN,O
430,38.0,each,DT,O
431,38.0,cut,VBN,O
432,38.0,squash,NN,U-Ingredient
433,38.0,piece,NN,O
434,38.0,.,.,O
435,38.0,Season,NN,U-Action
436,38.0,with,IN,O
437,38.0,Sweet,NNP,O
438,38.0,Mexican,NNP,O
439,38.0,Spice,NNP,O
440,38.0,Mix,NNP,O
441,38.0,.,.,O
442,39.0,Bake,VB,U-Action
443,39.0,at,IN,O
444,39.0,350,CD,O
445,39.0,degrees,NNS,O
446,39.0,",",",",O
447,39.0,again,RB,O
448,39.0,depending,VBG,O
449,39.0,on,IN,O
450,39.0,size,NN,O
451,39.0,",",",",O
452,39.0,for,IN,O
453,39.0,40,CD,O
454,39.0,minutes,NNS,O
455,39.0,up,IN,O
456,39.0,to,IN,O
457,39.0,an,DT,O
458,39.0,hour,NN,O
459,39.0,",",",",O
460,39.0,until,IN,O
461,39.0,a,DT,O
462,39.0,fork,NN,U-Utensil
463,39.0,can,MD,O
464,39.0,easily,RB,O
465,39.0,pierce,VB,U-Action
466,39.0,the,DT,O
467,39.0,skin,NN,O
468,39.0,.,.,O
469,40.0,Be,VB,O
470,40.0,careful,JJ,O
471,40.0,not,RB,O
472,40.0,to,TO,O
473,40.0,burn,VB,U-Action
474,40.0,the,DT,O
475,40.0,squash,NN,U-Ingredient
476,40.0,especially,RB,O
477,40.0,if,IN,O
478,40.0,you,PRP,O
479,40.0,opt,VBP,O
480,40.0,to,TO,O
481,40.0,use,VB,O
482,40.0,sugar,NN,U-Ingredient
483,40.0,or,CC,O
484,40.0,butter,NN,U-Ingredient
485,40.0,.,.,O
486,40.0,If,IN,O
487,40.0,you,PRP,O
488,40.0,feel,VBP,O
489,40.0,more,RBR,O
490,40.0,comfortable,JJ,O
491,40.0,",",",",O
492,40.0,cover,VB,U-Action
493,40.0,the,DT,O
494,40.0,squash,NN,U-Ingredient
495,40.0,with,IN,O
496,40.0,aluminum,NN,B-Utensil
497,40.0,foil,NN,L-Utensil
498,40.0,the,DT,O
499,40.0,first,JJ,O
500,40.0,half,JJ,O
501,40.0,hour,NN,O
502,40.0,",",",",O
503,40.0,give,VB,O
504,40.0,or,CC,O
505,40.0,take,VB,O
506,40.0,",",",",O
507,40.0,of,IN,O
508,40.0,baking,NN,O
509,40.0,.,.,O
510,41.0,If,IN,O
511,41.0,desired,VBN,O
512,41.0,",",",",O
513,41.0,season,NN,U-Action
514,41.0,with,IN,O
515,41.0,salt,NN,U-Ingredient
516,41.0,.,.,O
517,42.0,Toast,VB,U-Action
518,42.0,the,DT,O
519,42.0,fennel,NN,B-Ingredient
520,42.0,seeds,NNS,L-Ingredient
521,42.0,and,CC,O
522,42.0,lightly,RB,O
523,42.0,crush,VB,U-Action
524,42.0,them,PRP,O
525,42.0,.,.,O
526,43.0,Place,VB,U-Action
527,43.0,all,PDT,O
528,43.0,the,DT,O
529,43.0,ingredients,NNS,O
530,43.0,in,IN,O
531,43.0,a,DT,O
532,43.0,bowl,NN,U-Utensil
533,43.0,",",",",O
534,43.0,stir,VB,U-Action
535,43.0,well,RB,O
536,43.0,.,.,O
537,44.0,Cover,VB,U-Action
538,44.0,and,CC,O
539,44.0,leave,VB,U-Action
540,44.0,to,TO,O
541,44.0,marinate,VB,O
542,44.0,.,.,O
543,45.0,Keep,VB,U-Action
544,45.0,refrigerated,JJ,O
545,45.0,and,CC,O
546,45.0,use,VB,O
547,45.0,within,IN,O
548,45.0,1,CD,O
549,45.0,to,IN,O
550,45.0,2,CD,O
551,45.0,days,NNS,O
552,45.0,.,.,O
553,46.0,In,IN,O
554,46.0,a,DT,O
555,46.0,medium,JJ,B-Utensil
556,46.0,saucepan,NN,L-Utensil
557,46.0,combine,VBP,U-Action
558,46.0,all,PDT,O
559,46.0,the,DT,O
560,46.0,ingredients,NNS,O
561,46.0,for,IN,O
562,46.0,Sauce#1,NNP,O
563,46.0,",",",",O
564,46.0,bring,VB,U-Action
565,46.0,to,IN,O
566,46.0,a,DT,O
567,46.0,full,JJ,O
568,46.0,rolling,JJ,O
569,46.0,boil,NN,O
570,46.0,",",",",O
571,46.0,reduce,VB,U-Action
572,46.0,heat,NN,O
573,46.0,to,IN,O
574,46.0,medium,NN,B-Utensil
575,46.0,low,JJ,O
576,46.0,and,CC,O
577,46.0,simmer,VB,U-Action
578,46.0,for,IN,O
579,46.0,1,CD,O
580,46.0,hour,NN,O
581,46.0,",",",",O
582,46.0,stirring,VBG,U-Action
583,46.0,often,RB,O
584,46.0,.,.,O
585,47.0,Rub,VB,U-Action
586,47.0,the,DT,O
587,47.0,ribs,NNS,U-Ingredient
588,47.0,with,IN,O
589,47.0,soy,NN,B-Ingredient
590,47.0,sauce,NN,L-Ingredient
591,47.0,",",",",O
592,47.0,garlic,NN,U-Ingredient
593,47.0,",",",",O
594,47.0,ginger,NN,U-Ingredient
595,47.0,",",",",O
596,47.0,chili,NN,B-Ingredient
597,47.0,powder,NN,L-Ingredient
598,47.0,",",",",O
599,47.0,pepper,NN,U-Ingredient
600,47.0,",",",",O
601,47.0,salt,NN,U-Ingredient
602,47.0,and,CC,O
603,47.0,chopped,VBN,O
604,47.0,cilantro,NN,U-Ingredient
605,47.0,",",",",O
606,47.0,both,DT,O
607,47.0,sides,NNS,O
608,47.0,!,.,O
609,48.0,Wrap,VB,U-Action
610,48.0,ribs,NNS,U-Ingredient
611,48.0,in,IN,O
612,48.0,heavy,JJ,B-Utensil
613,48.0,duty,NN,I-Utensil
614,48.0,foil,NN,L-Utensil
615,48.0,.,.,O
616,49.0,Let,VB,O
617,49.0,Stand,VB,O
618,49.0,1,CD,O
619,49.0,hour,NN,O
620,49.0,.,.,O
621,50.0,Preheat,VB,U-Action
622,50.0,oven,NN,U-Utensil
623,50.0,to,IN,O
624,50.0,350,CD,O
625,50.0,degrees,NNS,O
626,50.0,.,.,O
627,51.0,Place,NN,U-Action
628,51.0,Ribs,NNS,U-Ingredient
629,51.0,in,IN,O
630,51.0,oven,NN,O
631,51.0,for,IN,O
632,51.0,1,CD,O
633,51.0,hour,NN,O
634,51.0,",",",",O
635,51.0,turning,VBG,U-Action
636,51.0,once,RB,O
637,51.0,after,IN,O
638,51.0,30,CD,O
639,51.0,minutes,NNS,O
640,51.0,.,.,O
641,52.0,3,CD,O
642,52.0,times,NNS,O
643,52.0,during,IN,O
644,52.0,cooking,VBG,O
645,52.0,the,DT,O
646,52.0,ribs,NNS,U-Ingredient
647,52.0,open,JJ,U-Action
648,52.0,foil,NN,U-Utensil
649,52.0,wrap,NN,O
650,52.0,and,CC,O
651,52.0,drizzle,VB,U-Action
652,52.0,ribs,NNS,U-Ingredient
653,52.0,with,IN,O
654,52.0,Sauce#1,NNS,O
655,52.0,.,.,O
656,53.0,Place,VB,U-Action
657,53.0,all,PDT,O
658,53.0,the,DT,O
659,53.0,ingredients,NNS,O
660,53.0,for,IN,O
661,53.0,sauce#2,NNP,O
662,53.0,in,IN,O
663,53.0,a,DT,O
664,53.0,glass,NN,U-Utensil
665,53.0,or,CC,O
666,53.0,plastic,NN,B-Utensil
667,53.0,bowl,NN,L-Utensil
668,53.0,",",",",O
669,53.0,whisk,VB,U-Action
670,53.0,well,RB,O
671,53.0,and,CC,O
672,53.0,set,VB,O
673,53.0,aside,RB,O
674,53.0,.,.,O
675,54.0,Remove,VB,U-Action
676,54.0,ribs,NNS,U-Ingredient
677,54.0,from,IN,O
678,54.0,oven,NN,U-Utensil
679,54.0,and,CC,O
680,54.0,place,NN,U-Action
681,54.0,on,IN,O
682,54.0,serving,VBG,O
683,54.0,platter,NN,U-Utensil
684,54.0,.,.,O
685,55.0,Offer,VB,O
686,55.0,both,DT,O
687,55.0,sauces,NNS,O
688,55.0,at,IN,O
689,55.0,table,NN,O
690,55.0,to,TO,O
691,55.0,drizzle,VB,U-Action
692,55.0,over,IN,O
693,55.0,ribs,NNS,U-Ingredient
694,55.0,.,.,O
695,56.0,Crumble,VB,U-Action
696,56.0,cookies,NNS,O
697,56.0,into,IN,O
698,56.0,a,DT,O
699,56.0,9-inch,JJ,O
700,56.0,pie,NN,B-Utensil
701,56.0,plate,NN,L-Utensil
702,56.0,",",",",O
703,56.0,or,CC,O
704,56.0,cake,NN,B-Utensil
705,56.0,pan,NN,L-Utensil
706,56.0,.,.,O
707,57.0,Pat,VB,U-Action
708,57.0,down,RP,O
709,57.0,to,TO,O
710,57.0,form,VB,O
711,57.0,an,DT,O
712,57.0,even,JJ,O
713,57.0,layer,NN,O
714,57.0,.,.,O
715,58.0,Drizzle,NNP,U-Action
716,58.0,1,CD,O
717,58.0,cup,NN,U-Utensil
718,58.0,of,IN,O
719,58.0,chocolate,NN,U-Ingredient
720,58.0,topping,VBG,O
721,58.0,evenly,RB,O
722,58.0,over,IN,O
723,58.0,the,DT,O
724,58.0,cookies,NNS,U-Ingredient
725,58.0,with,IN,O
726,58.0,a,DT,O
727,58.0,small,JJ,B-Utensil
728,58.0,spoon,NN,L-Utensil
729,58.0,.,.,O
730,59.0,Scoop,VB,U-Action
731,59.0,the,DT,O
732,59.0,vanilla,NN,U-Ingredient
733,59.0,ice,NN,B-Ingredient
734,59.0,cream,NN,L-Ingredient
735,59.0,on,IN,O
736,59.0,top,NN,O
737,59.0,of,IN,O
738,59.0,the,DT,O
739,59.0,chocolate,NN,U-Ingredient
740,59.0,and,CC,O
741,59.0,smooth,VB,O
742,59.0,down,RP,O
743,59.0,.,.,O
744,60.0,Cover,VB,U-Action
745,60.0,with,IN,O
746,60.0,half,NN,O
747,60.0,of,IN,O
748,60.0,the,DT,O
749,60.0,sliced,VBN,B-Ingredient
750,60.0,bananas,NNS,L-Ingredient
751,60.0,.,.,O
752,61.0,Top,JJ,U-Action
753,61.0,with,IN,O
754,61.0,strawberry,NN,U-Ingredient
755,61.0,ice,NN,B-Ingredient
756,61.0,cream,NN,L-Ingredient
757,61.0,.,.,O
758,62.0,Cover,VB,U-Action
759,62.0,and,CC,O
760,62.0,freeze,VB,U-Action
761,62.0,until,IN,O
762,62.0,firm,NN,O
763,62.0,.,.,O
764,63.0,(,-LRB-,O
765,63.0,at,RB,O
766,63.0,least,RBS,O
767,63.0,three,CD,O
768,63.0,hours,NNS,O
769,63.0,or,CC,O
770,63.0,overnight,RB,O
771,63.0,),-RRB-,O
772,63.0,Before,IN,O
773,63.0,serving,VBG,U-Action
774,63.0,",",",",O
775,63.0,top,NN,U-Action
776,63.0,with,IN,O
777,63.0,1/4,CD,O
778,63.0,cup,NN,O
779,63.0,chocolate,NN,U-Ingredient
780,63.0,topping,NN,O
781,63.0,",",",",O
782,63.0,whipped,VBN,B-Ingredient
783,63.0,cream,NN,L-Ingredient
784,63.0,",",",",O
785,63.0,and,CC,O
786,63.0,sliced,VBN,O
787,63.0,bananas,NNS,U-Ingredient
788,63.0,.,.,O
789,64.0,Preheat,VB,U-Action
790,64.0,oven,NN,U-Utensil
791,64.0,to,IN,O
792,64.0,350,CD,O
793,64.0,degrees,NNS,O
794,64.0,.,.,O
795,65.0,Butter,NN,U-Action
796,65.0,two,CD,O
797,65.0,9x5,CD,O
798,65.0,"""",``,O
799,65.0,loaf,NN,B-Utensil
800,65.0,pans,NNS,L-Utensil
801,65.0,.,.,O
802,66.0,Cool,VB,U-Action
803,66.0,the,DT,O
804,66.0,loaves,NNS,U-Ingredient
805,66.0,on,IN,O
806,66.0,racks,NNS,O
807,66.0,for,IN,O
808,66.0,30,CD,O
809,66.0,minutes,NNS,O
810,66.0,before,IN,O
811,66.0,removing,VBG,U-Action
812,66.0,from,IN,O
813,66.0,the,DT,O
814,66.0,pans,NNS,U-Utensil
815,66.0,.,.,O
816,67.0,Freezes,VBZ,O
817,67.0,well,RB,O
818,67.0,.,.,O
819,68.0,Cream,VB,U-Action
820,68.0,the,DT,O
821,68.0,sugar,NN,U-Ingredient
822,68.0,and,CC,O
823,68.0,the,DT,O
824,68.0,butter,NN,U-Ingredient
825,68.0,until,IN,O
826,68.0,light,NN,O
827,68.0,and,CC,O
828,68.0,whipped,VBN,O
829,68.0,(,-LRB-,O
830,68.0,until,IN,O
831,68.0,creamy,NNP,O
832,68.0,),-RRB-,O
833,68.0,.,.,O
834,69.0,Add,VB,U-Action
835,69.0,the,DT,O
836,69.0,bananas,NNS,U-Ingredient
837,69.0,",",",",O
838,69.0,eggs,NNS,U-Ingredient
839,69.0,",",",",O
840,69.0,lemon,NN,B-Ingredient
841,69.0,juice,NN,L-Ingredient
842,69.0,",",",",O
843,69.0,orange,JJ,B-Ingredient
844,69.0,rind,NN,L-Ingredient
845,69.0,.,.,O
846,70.0,Beat,VB,U-Action
847,70.0,until,IN,O
848,70.0,blended,VBN,O
849,70.0,uniformly,RB,O
850,70.0,.,.,O
851,71.0,Be,VB,O
852,71.0,patient,JJ,O
853,71.0,",",",",O
854,71.0,and,CC,O
855,71.0,beat,VBD,U-Action
856,71.0,until,IN,O
857,71.0,the,DT,O
858,71.0,banana,NN,U-Ingredient
859,71.0,lumps,NNS,O
860,71.0,are,VBP,O
861,71.0,gone,VBN,O
862,71.0,.,.,O
863,72.0,Sift,VB,U-Action
864,72.0,the,DT,O
865,72.0,dry,JJ,O
866,72.0,ingredients,NNS,O
867,72.0,together,RB,O
868,72.0,.,.,O
869,73.0,Fold,VB,U-Action
870,73.0,lightly,RB,O
871,73.0,and,CC,O
872,73.0,thoroughly,RB,O
873,73.0,into,IN,O
874,73.0,the,DT,O
875,73.0,banana,NN,U-Ingredient
876,73.0,mixture,NN,O
877,73.0,.,.,O
878,74.0,Pour,VB,U-Action
879,74.0,the,DT,O
880,74.0,batter,NN,O
881,74.0,into,IN,O
882,74.0,prepared,JJ,O
883,74.0,loaf,NN,B-Utensil
884,74.0,pans,NNS,L-Utensil
885,74.0,.,.,O
886,75.0,Bake,VB,U-Action
887,75.0,for,IN,O
888,75.0,45,CD,O
889,75.0,to,TO,O
890,75.0,55,CD,O
891,75.0,minutes,NNS,O
892,75.0,",",",",O
893,75.0,until,IN,O
894,75.0,the,DT,O
895,75.0,loaves,NNS,U-Ingredient
896,75.0,are,VBP,O
897,75.0,firm,JJ,O
898,75.0,in,IN,O
899,75.0,the,DT,O
900,75.0,middle,NN,O
901,75.0,and,CC,O
902,75.0,the,DT,O
903,75.0,edges,NNS,O
904,75.0,begin,VBP,O
905,75.0,to,TO,O
906,75.0,pull,VB,O
907,75.0,away,RB,O
908,75.0,from,IN,O
909,75.0,the,DT,O
910,75.0,pans,NNS,U-Utensil
911,75.0,.,.,O
912,76.0,In,IN,O
913,76.0,medium,JJ,B-Utensil
914,76.0,size,NN,I-Utensil
915,76.0,bowl,NN,L-Utensil
916,76.0,",",",",O
917,76.0,coarsely,RB,O
918,76.0,mash,NNP,U-Action
